url,window,clicks,impressions,position,http_status,priority,action,review_after
/project-management/jira-vs-notion-vs-trello/,3m,3,61,11.7,200,high,monitor_only,2026-07-22
/analytics/saas-market-size-statistics-2026/,3m,1,279,11.2,200,high,monitor_only,2026-07-22
/hr/saas-sales-rep-salary/,3m,1,110,10.8,200,high,ctr_updated,2026-07-31
/project-management/devops-statistics-2026/,3m,1,34,9.3,301,medium,redirect_to:/categories/devops/,2026-07-22
/analytics/business-intelligence-statistics-2026/,3m,1,12,1.8,200,medium,monitor_only,2026-07-22
/analytics/ai-saas-statistics-2026/,3m,0,633,8.6,200,high,monitor_only,2026-07-29
/crm/zoho-vs-freshsales-vs-close/,3m,0,566,7.8,200,high,monitor_only,2026-07-29
/analytics/state-of-saas-2026-annual-report/,3m,0,421,7.6,200,high,monitor_only,2026-07-29
/crm/best-crm-small-business/,3m,0,264,37.7,200,high,monitor_only,2026-07-29
/security/cybersecurity-statistics-2026/,3m,0,212,8.8,200,high,monitor_only,2026-07-29
/ecommerce/ecommerce-statistics-2026/,3m,0,191,8.8,200,high,ctr_updated,2026-07-31
/,3m,0,145,10.1,200,high,monitor_only,2026-07-29
/crm/salesforce-vs-hubspot-vs-pipedrive/,3m,0,135,33.7,200,high,monitor_only,2026-07-29
/about/,3m,0,127,3.4,200,high,monitor_only,2026-07-29
/saas-pricing-calculator/,3m,0,119,54.6,200,high,monitor_only,2026-07-29
/crm/salesforce-vs-zoho/,3m,0,118,52.4,200,high,monitor_only,2026-07-29
/hr/saas-founder-salary/,3m,0,98,19.6,200,medium,ctr_review,2026-07-22
/categories/hr/,3m,0,78,7.4,200,medium,monitor_only,2026-07-29
/categories/crm/,3m,0,75,50.4,200,medium,monitor_only,2026-07-29
/ecommerce/stripe-vs-paypal-vs-square/,3m,0,73,42.6,200,medium,monitor_only,2026-07-29
/categories/marketing/,3m,0,71,60.1,200,medium,monitor_only,2026-07-29
/communication/slack-vs-teams-vs-zoom/,3m,0,68,10.5,200,medium,ctr_updated,2026-07-31
/crm/small-business-crm-statistics-2026/,3m,0,62,4.6,200,medium,ctr_updated,2026-07-31
/ecommerce/bigcommerce-statistics-2026/,3m,0,62,8.4,200,medium,ctr_updated,2026-07-31
/hr/best-hr-software-small-business/,3m,0,61,13.0,200,medium,ctr_updated,2026-07-31
/ecommerce/amazon-fba-statistics-2026/,3m,0,52,6.2,200,medium,ctr_updated,2026-07-31
/analytics/mixpanel-vs-amplitude-vs-google-analytics/,3m,0,51,17.0,200,medium,ctr_updated,2026-07-31
/analytics/best-bi-tools/,3m,0,51,31.7,200,medium,ctr_updated,2026-07-31
/hr/hr-hcm-statistics-2026/,3m,0,49,5.7,200,medium,ctr_updated,2026-07-31
/analytics/cloud-computing-market-size-2026/,28d,0,41,8.4,301,medium,redirect_to:/analytics/cloud-computing-statistics-2026/,2026-07-22
